CDT_time,bar_fence,spd_0_2m_init,spd_1_5m_init,spd_3m_init,spd_4_5m_init,spd_6m_init,spd_10m_init,bar_fence_1,spd_0_2m_rel,spd_1_5m_rel,spd_3m_rel,spd_4_5m_rel,spd_6m_rel,spd_10m_rel,bar_fence_2,spd_0_2m_uconv,spd_1_5m_uconv,spd_3m_uconv,spd_4_5m_uconv,spd_6m_uconv,spd_10m_uconv,bar_fence_3,spd_0_2m_lconv,spd_1_5m_lconv,spd_3m_lconv,spd_4_5m_lconv,spd_6m_lconv,spd_10m_lconv,bar_fence_4,spd_8_5m_rel,spd_8_5m_lconv,spd_15m_rel,spd_15m_lconv,spd_20m_rel,spd_20m_lconv,,Init,Rel,Uconv,Lconv
21:37:30,|,0.908079386,2.395910263,2.899432898,3.284478426,3.645604849,4.008082867,|,0.709639907,1.669306636,2.249664068,2.830646515,3.154007912,4.009525299,|,NaN,1.93522799,2.40534687,2.879160404,3.240715742,3.978746414,|,0.40614,1.590686798,2.055066109,2.418772936,2.766530037,3.27387929,|,3.575569868,3.116621494,4.750425816,3.807773352,5.237704754,4.367201805,,1,1,0,1
21:42:30,|,0.871343315,2.320968151,2.823903799,3.198940754,3.590858221,4.009875774,|,0.668060005,1.513190389,2.165160179,2.707670927,3.126898527,4.008789539,|,NaN,1.986035585,2.580664873,3.057618618,3.411180258,4.12803793,|,0.484039992,1.837802649,2.276935577,2.617971659,2.921248436,3.533961535,|,3.590431452,3.243982077,4.75779295,4.043951035,5.259963989,4.54546833,,1,1,0,1
21:47:30,|,0.831343353,2.241432905,2.792007208,3.204879045,3.559912443,3.923742056,|,0.469099402,1.219952583,1.703269124,2.219378233,2.692482948,3.82855463,|,NaN,2.043479443,2.551026583,3.013774157,3.359936953,4.047705173,|,0.561880648,1.950172305,2.437232733,2.775341034,3.083649874,3.560298681,|,3.320297956,3.382685423,4.543443203,4.174426556,5.042668819,4.745742321,,1,1,0,1
21:52:30,|,0.975633323,2.410780907,2.96554327,3.375358343,3.726474524,4.07224369,|,0.604876578,1.52151072,2.068629742,2.622074842,2.966418743,3.823884249,|,NaN,1.820911288,2.338260889,2.804988861,3.150229931,3.866823435,|,0.653856695,2.049869776,2.479586124,2.845807314,3.193698883,3.685737848,|,3.417162895,3.517951012,4.639484882,4.160291672,5.123958111,4.597112179,,1,1,0,1
21:57:30,|,0.97974664,2.534503698,3.076733589,3.427752256,3.770652056,4.154157639,|,0.763646662,1.772302508,2.357324123,2.834589481,3.186942816,3.888184786,|,NaN,1.934155345,2.530046701,3.007477283,3.328326702,3.989519835,|,0.576496661,1.968431473,2.375966311,2.734208107,3.080523968,3.583063602,|,3.551841021,3.422193766,4.57973671,4.126708508,5.12470293,4.567499161,,1,1,0,1
22:02:30,|,0.947375774,2.428482533,3.012385607,3.424821615,3.765798092,4.06535387,|,0.733683348,1.681865573,2.273401976,2.780803919,3.13864398,3.829916,|,NaN,1.979634285,2.481787682,2.993687868,3.362560987,3.939058542,|,0.525453329,1.85731113,2.273602724,2.61101222,2.954954863,3.412058592,|,3.49111557,3.299700975,4.501606464,3.891257524,5.031319618,4.344706535,,1,1,0,1
22:07:30,|,0.99309665,2.522907019,3.116302013,3.493981838,3.822403431,4.174986839,|,0.673384488,1.590302587,2.161257982,2.643803596,2.989058495,3.814394951,|,NaN,1.871102929,2.472886086,3.019105434,3.387614489,4.032553196,|,0.503866673,1.854378462,2.322477341,2.693999052,3.0364573,3.528326035,|,3.391575098,3.368761063,4.56398344,4.109521866,5.049555302,4.570048332,,1,1,0,1
22:12:30,|,0.981103361,2.476697683,3.064394236,3.491571426,3.892401218,4.244274616,|,0.779500008,1.793139458,2.333013535,2.798105955,3.093203068,3.939247131,|,NaN,1.829047203,2.449311733,3.022929668,3.382436275,3.980707169,|,0.553219974,1.89467895,2.310967684,2.62103343,2.986093044,3.497108936,|,3.523512602,3.342436314,4.647534847,4.078263283,5.170110226,4.594876289,,1,1,0,1
22:17:30,|,1.005596638,2.579227448,3.135463953,3.500031471,3.808946848,4.130412102,|,0.862326682,1.847353935,2.498984575,2.995242119,3.319787979,4.059445381,|,NaN,1.989584088,2.526659966,2.995535612,3.339411497,3.992464781,|,0.571643889,1.956070065,2.414917946,2.768172979,3.097349405,3.546921492,|,3.74027276,3.422184706,4.781089783,4.058565617,5.309034824,4.593333244,,1,1,0,1
22:22:30,|,0.902887642,2.339618206,2.860931873,3.198167324,3.53494978,3.930649996,|,0.609693348,1.476900697,2.022759914,2.473688364,2.884586811,3.794968605,|,NaN,1.804525614,2.379117012,2.914880276,3.293870449,3.985833883,|,0.537440002,1.843062878,2.246739626,2.617861986,2.960781336,3.469157934,|,3.357042313,3.277411461,4.534609795,4.088028431,5.005928993,4.685507774,,1,1,0,1
