CDT_Time,bar_fence,theta_v_low,theta_v_high,w_theta_v_low,w_theta_v_high,u_lower,u_upper,v_lower,v_upper,u_w_prime_low,u_w_prime_high,v_w_prime_low,v_w_prime_high
22:57:30,|,NaN,295.41268349,NaN,-0.013996241,NaN,1.770961523,NaN,-0.790184855,NaN,-0.047735937,NaN,0.004365238
23:02:30,|,NaN,295.51986504,NaN,-0.015321688,NaN,2.554874182,NaN,-1.306146383,NaN,-0.11471682,NaN,0.027042037
23:07:30,|,NaN,295.32310486,NaN,-0.018044559,NaN,2.530216694,NaN,-1.687722325,NaN,-0.111782826,NaN,0.103314832
23:12:30,|,NaN,295.03255463,NaN,-0.026204126,NaN,2.055740356,NaN,-1.954297185,NaN,-0.043038458,NaN,0.115117267
23:17:30,|,NaN,293.72413826,NaN,-0.029792866,NaN,2.214440346,NaN,-3.078451872,NaN,-0.249362886,NaN,0.326820731
23:22:30,|,NaN,293.26115036,NaN,-0.030604139,NaN,2.416187763,NaN,-2.761317253,NaN,-0.13615042,NaN,0.252767652
00:47:30,|,292.11748505,291.81876564,-0.010675641,-0.016974967,1.517085671,1.750815511,-1.460514665,-1.591035724,-0.05097153,-0.080712512,0.028868711,0.073914006
00:52:30,|,292.02294922,291.78211784,-0.019931551,-0.022208197,2.204001188,2.395889282,-1.652783871,-1.806663394,-0.168014228,-0.232295275,0.094023228,0.154846489
00:57:30,|,291.76522064,291.54225159,-0.009150279,-0.012281026,2.368722677,2.570739746,-1.836699963,-2.055123568,-0.083624557,-0.133253664,0.077029355,0.150339931
01:02:30,|,291.68523979,291.41067314,-0.01796649,-0.026167594,2.611047029,2.897487879,-2.024102449,-2.214734793,-0.146392092,-0.175121054,0.095022954,0.191313684
04:57:30,|,287.23210907,286.54964542,-0.01672454,-0.022181999,2.571065664,2.793526649,-2.29693675,-2.408609629,-0.125972018,-0.231120408,0.151997522,0.26789695
05:02:30,|,287.14438343,286.46547413,-0.013932523,-0.01502891,2.540620327,2.762254477,-1.979680181,-2.143672943,-0.10625241,-0.124124505,0.103631996,0.175791249
05:07:30,|,287.08450031,286.41064739,-0.015817581,-0.015935663,2.21445179,2.383082867,-1.822208405,-1.947402596,-0.092053294,-0.136179507,0.118469439,0.20192112
05:12:30,|,287.06236839,286.38817215,-0.01127253,-0.01185438,2.1106534,2.193344593,-1.745514393,-1.855234981,-0.049414139,-0.073863387,0.042598117,0.093688317
05:17:30,|,287.04140282,286.3573246,-0.013411102,-0.017277228,2.408845186,2.55790019,-2.00289011,-2.087009907,-0.039037559,-0.043806318,0.102081515,0.192524776
05:22:30,|,286.95473194,286.28084755,-0.019660361,-0.018433306,2.176180363,2.362558603,-1.775319457,-1.885616899,-0.119889483,-0.156906232,0.095511854,0.178101346
