,,DT6,,DT7,,DT8,,DT2,,DT3,,DT10,,DT9,,DT5
10/17/2018,23:26:30,0.002,23:26:30,0.012,23:26:30,,23:26:30,,23:26:30,,23:26:30,,23:26:30,,23:26:30,
10/17/2018,23:26:31,0.001,23:26:31,0.014,23:26:31,,23:26:31,,23:26:31,,23:26:31,,23:26:31,,23:26:31,
10/17/2018,23:26:32,0.001,23:26:32,0.014,23:26:32,,23:26:32,,23:26:32,,23:26:32,,23:26:32,,23:26:32,
10/17/2018,23:26:33,0.002,23:26:33,0.013,23:26:33,,23:26:33,,23:26:33,,23:26:33,,23:26:33,,23:26:33,
10/17/2018,23:26:34,0.003,23:26:34,0.014,23:26:34,,23:26:34,,23:26:34,,23:26:34,,23:26:34,,23:26:34,
10/17/2018,23:26:35,0.002,23:26:35,0.013,23:26:35,,23:26:35,,23:26:35,,23:26:35,,23:26:35,,23:26:35,
10/17/2018,23:26:36,0,23:26:36,0.012,23:26:36,,23:26:36,,23:26:36,,23:26:36,,23:26:36,,23:26:36,
10/17/2018,23:26:37,0.001,23:26:37,0.013,23:26:37,,23:26:37,,23:26:37,,23:26:37,,23:26:37,,23:26:37,
10/17/2018,23:26:38,0.004,23:26:38,0.013,23:26:38,,23:26:38,,23:26:38,,23:26:38,,23:26:38,,23:26:38,
10/17/2018,23:26:39,0.002,23:26:39,0.014,23:26:39,,23:26:39,,23:26:39,,23:26:39,,23:26:39,,23:26:39,
10/17/2018,23:26:40,0.002,23:26:40,0.015,23:26:40,,23:26:40,,23:26:40,,23:26:40,,23:26:40,,23:26:40,
10/17/2018,23:26:41,0.002,23:26:41,0.013,23:26:41,,23:26:41,,23:26:41,,23:26:41,,23:26:41,,23:26:41,
10/17/2018,23:26:42,0.001,23:26:42,0.012,23:26:42,,23:26:42,,23:26:42,,23:26:42,,23:26:42,,23:26:42,
10/17/2018,23:26:43,0.001,23:26:43,0.013,23:26:43,,23:26:43,,23:26:43,,23:26:43,,23:26:43,,23:26:43,
10/17/2018,23:26:44,0.002,23:26:44,0.013,23:26:44,,23:26:44,,23:26:44,,23:26:44,,23:26:44,,23:26:44,
10/17/2018,23:26:45,0.001,23:26:45,0.012,23:26:45,,23:26:45,,23:26:45,,23:26:45,,23:26:45,,23:26:45,
10/17/2018,23:26:46,0.001,23:26:46,0.014,23:26:46,,23:26:46,,23:26:46,,23:26:46,,23:26:46,,23:26:46,
10/17/2018,23:26:47,0.001,23:26:47,0.015,23:26:47,,23:26:47,,23:26:47,,23:26:47,,23:26:47,,23:26:47,
10/17/2018,23:26:48,0,23:26:48,0.014,23:26:48,,23:26:48,,23:26:48,,23:26:48,,23:26:48,,23:26:48,
10/17/2018,23:26:49,0.002,23:26:49,0.011,23:26:49,,23:26:49,,23:26:49,,23:26:49,,23:26:49,,23:26:49,
10/17/2018,23:26:50,0.002,23:26:50,0.012,23:26:50,,23:26:50,,23:26:50,,23:26:50,,23:26:50,,23:26:50,
10/17/2018,23:26:51,0.002,23:26:51,0.012,23:26:51,,23:26:51,,23:26:51,,23:26:51,,23:26:51,,23:26:51,
10/17/2018,23:26:52,0.004,23:26:52,0.013,23:26:52,,23:26:52,,23:26:52,,23:26:52,,23:26:52,,23:26:52,
10/17/2018,23:26:53,0,23:26:53,0.014,23:26:53,,23:26:53,,23:26:53,,23:26:53,,23:26:53,,23:26:53,
10/17/2018,23:26:54,0.004,23:26:54,0.013,23:26:54,,23:26:54,,23:26:54,,23:26:54,,23:26:54,,23:26:54,
10/17/2018,23:26:55,0.002,23:26:55,0.014,23:26:55,,23:26:55,,23:26:55,,23:26:55,,23:26:55,,23:26:55,
10/17/2018,23:26:56,0.003,23:26:56,0.012,23:26:56,,23:26:56,,23:26:56,,23:26:56,,23:26:56,,23:26:56,
10/17/2018,23:26:57,0.003,23:26:57,0.011,23:26:57,,23:26:57,,23:26:57,,23:26:57,,23:26:57,,23:26:57,
10/17/2018,23:26:58,0.003,23:26:58,0.012,23:26:58,,23:26:58,,23:26:58,,23:26:58,,23:26:58,,23:26:58,
10/17/2018,23:26:59,0,23:26:59,0.014,23:26:59,,23:26:59,,23:26:59,,23:26:59,,23:26:59,,23:26:59,
10/17/2018,23:27:00,0.001,23:27:00,0.016,23:27:00,,23:27:00,,23:27:00,,23:27:00,,23:27:00,,23:27:00,
10/17/2018,23:27:01,0.006,23:27:01,0.016,23:27:01,,23:27:01,,23:27:01,,23:27:01,,23:27:01,,23:27:01,
10/17/2018,23:27:02,0.008,23:27:02,0.013,23:27:02,,23:27:02,,23:27:02,,23:27:02,,23:27:02,,23:27:02,
10/17/2018,23:27:03,0.002,23:27:03,0.013,23:27:03,,23:27:03,,23:27:03,,23:27:03,,23:27:03,,23:27:03,
10/17/2018,23:27:04,0.001,23:27:04,0.014,23:27:04,,23:27:04,,23:27:04,,23:27:04,,23:27:04,,23:27:04,
10/17/2018,23:27:05,0.001,23:27:05,0.013,23:27:05,,23:27:05,,23:27:05,,23:27:05,,23:27:05,,23:27:05,
10/17/2018,23:27:06,0.004,23:27:06,0.014,23:27:06,,23:27:06,,23:27:06,,23:27:06,,23:27:06,,23:27:06,
10/17/2018,23:27:07,0.004,23:27:07,0.014,23:27:07,,23:27:07,,23:27:07,,23:27:07,,23:27:07,,23:27:07,
10/17/2018,23:27:08,0.002,23:27:08,0.014,23:27:08,,23:27:08,,23:27:08,,23:27:08,,23:27:08,,23:27:08,
10/17/2018,23:27:09,0.002,23:27:09,0.013,23:27:09,,23:27:09,,23:27:09,,23:27:09,,23:27:09,,23:27:09,
10/17/2018,23:27:10,0.004,23:27:10,0.013,23:27:10,,23:27:10,,23:27:10,,23:27:10,,23:27:10,,23:27:10,
10/17/2018,23:27:11,0.001,23:27:11,0.012,23:27:11,,23:27:11,,23:27:11,,23:27:11,,23:27:11,,23:27:11,
10/17/2018,23:27:12,0.001,23:27:12,0.012,23:27:12,,23:27:12,,23:27:12,,23:27:12,,23:27:12,,23:27:12,
10/17/2018,23:27:13,0.001,23:27:13,0.013,23:27:13,,23:27:13,,23:27:13,,23:27:13,,23:27:13,,23:27:13,
