bar_fence,CDT_Time,Rel_1_5,Rel_0_4,Rel_1_5_v_0_4,bar_fence_1,Upper_3_0,Upper_0,Upper_3_0_v_0,bar_fence_2,CDT_Time_1,Lower_1_5,Lower_0,Lower_1_5_v_0
|,23:26:14,0.011,0,Inf,|,NaN,NaN,NaN,|,23:26:14,NaN,NaN,NaN
|,23:26:15,0.012,0.001,12,|,NaN,NaN,NaN,|,23:26:15,NaN,NaN,NaN
|,23:26:16,0.013,0.001,13,|,NaN,NaN,NaN,|,23:26:16,NaN,NaN,NaN
|,23:26:17,0.013,0,Inf,|,NaN,NaN,NaN,|,23:26:17,NaN,NaN,NaN
|,23:26:18,0.013,0.001,13,|,NaN,NaN,NaN,|,23:26:18,NaN,NaN,NaN
|,23:26:19,0.012,0,Inf,|,NaN,NaN,NaN,|,23:26:19,NaN,NaN,NaN
|,23:26:20,0.012,0,Inf,|,NaN,NaN,NaN,|,23:26:20,NaN,NaN,NaN
|,23:26:21,0.011,0.001,11,|,NaN,NaN,NaN,|,23:26:21,NaN,NaN,NaN
|,23:26:22,0.012,0.001,12,|,NaN,NaN,NaN,|,23:26:22,NaN,NaN,NaN
|,23:26:23,0.013,0.001,13,|,NaN,NaN,NaN,|,23:26:23,NaN,NaN,NaN
|,23:26:24,0.018,0,Inf,|,NaN,NaN,NaN,|,23:26:24,NaN,NaN,NaN
|,23:26:25,0.018,0.003,6,|,NaN,NaN,NaN,|,23:26:25,NaN,NaN,NaN
|,23:26:26,0.012,0.004,3,|,NaN,NaN,NaN,|,23:26:26,NaN,NaN,NaN
|,23:26:27,0.013,0.002,6.5,|,NaN,NaN,NaN,|,23:26:27,NaN,NaN,NaN
|,23:26:28,0.013,0,Inf,|,NaN,NaN,NaN,|,23:26:28,NaN,NaN,NaN
|,23:26:29,0.011,0.001,11,|,NaN,NaN,NaN,|,23:26:29,NaN,NaN,NaN
|,23:26:30,0.012,0.002,6,|,NaN,NaN,NaN,|,23:26:30,NaN,NaN,NaN
|,23:26:31,0.014,0.001,14,|,NaN,NaN,NaN,|,23:26:31,NaN,NaN,NaN
|,23:26:32,0.014,0.001,14,|,NaN,NaN,NaN,|,23:26:32,NaN,NaN,NaN
|,23:26:33,0.013,0.002,6.5,|,NaN,NaN,NaN,|,23:26:33,NaN,NaN,NaN
|,23:26:34,0.014,0.003,4.66666666666667,|,NaN,NaN,NaN,|,23:26:34,NaN,NaN,NaN
|,23:26:35,0.013,0.002,6.5,|,NaN,NaN,NaN,|,23:26:35,NaN,NaN,NaN
|,23:26:36,0.012,0,Inf,|,NaN,NaN,NaN,|,23:26:36,NaN,NaN,NaN
|,23:26:37,0.013,0.001,13,|,NaN,NaN,NaN,|,23:26:37,NaN,NaN,NaN
|,23:26:38,0.013,0.004,3.25,|,NaN,NaN,NaN,|,23:26:38,NaN,NaN,NaN
|,23:26:39,0.014,0.002,7,|,NaN,NaN,NaN,|,23:26:39,NaN,NaN,NaN
|,23:26:40,0.015,0.002,7.5,|,NaN,NaN,NaN,|,23:26:40,NaN,NaN,NaN
|,23:26:41,0.013,0.002,6.5,|,NaN,NaN,NaN,|,23:26:41,NaN,NaN,NaN
|,23:26:42,0.012,0.001,12,|,NaN,NaN,NaN,|,23:26:42,NaN,NaN,NaN
|,23:26:43,0.013,0.001,13,|,NaN,NaN,NaN,|,23:26:43,NaN,NaN,NaN
|,23:26:44,0.013,0.002,6.5,|,NaN,NaN,NaN,|,23:26:44,NaN,NaN,NaN
|,23:26:45,0.012,0.001,12,|,NaN,NaN,NaN,|,23:26:45,NaN,NaN,NaN
|,23:26:46,0.014,0.001,14,|,NaN,NaN,NaN,|,23:26:46,NaN,NaN,NaN
|,23:26:47,0.015,0.001,15,|,NaN,NaN,NaN,|,23:26:47,NaN,NaN,NaN
|,23:26:48,0.014,0,Inf,|,NaN,NaN,NaN,|,23:26:48,NaN,NaN,NaN
|,23:26:49,0.011,0.002,5.5,|,NaN,NaN,NaN,|,23:26:49,NaN,NaN,NaN
